,Latitude,Longitude,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
434,43.57,45.52,Kalinovskaya,RU,65.51,100,92,3.96
435,5.43,7.07,Naze,NG,75.2,94,75,2.24
436,34.74,60.78,Taybad,IR,74.24,32,0,9.44
437,21.96,108.62,Qinzhou,CN,78.83,83,80,2.73
438,33.64,46.42,Ilam,IR,77.0,33,0,4.7
439,29.03,21.55,Jalu,LY,96.29,23,0,12.8
440,66.82,65.8,Kharp,RU,46.07,90,0,7.99
441,65.85,44.24,Mezen,RU,60.83,94,100,9.66
442,-32.25,148.6,Dubbo,AU,33.8,80,0,8.05
443,-2.08,101.38,Sungaipenuh,ID,64.79,94,56,1.28
444,-11.41,-69.49,Iberia,PE,79.73,72,44,3.96
445,-39.19,173.88,Okato,NZ,53.45,95,36,7.87
446,33.19,-82.53,Avera,US,91.4,62,40,6.93
447,-29.69,-53.81,Santa Maria,BR,50.0,93,90,16.11
448,29.14,21.3,Awjilah,LY,97.55,22,48,15.26
449,57.99,31.36,Staraya Russa,RU,70.64,70,8,10.22
450,39.73,98.49,Jiuquan,CN,57.32,51,0,3.85
451,45.42,-75.69,Ottawa,CA,80.6,61,75,10.29
452,67.65,134.64,Batagay,RU,54.53,84,0,2.73
453,27.13,81.96,Gonda,IN,78.56,93,8,2.95
454,54.98,60.37,Chebarkul,RU,53.45,100,92,10.78
455,-8.45,118.73,Bima,ID,69.83,100,0,3.51
456,34.88,-76.9,Havelock,US,91.4,66,75,9.17
457,71.03,27.85,Mehamn,NO,50.0,93,75,6.93
458,7.87,9.78,Wukari,NG,73.88,94,48,7.09
459,37.96,-8.87,Sines,PT,68.48,81,0,23.87
460,-39.03,-67.58,General Roca,AR,55.4,35,0,12.75
461,34.8,-86.97,Athens,US,86.0,62,1,6.93
462,55.0,25.78,Pabrade,LT,71.6,53,0,10.29
463,32.59,-96.96,Cedar Hill,US,98.6,55,1,3.36
464,64.86,11.24,Rorvik,NO,60.8,93,0,2.24
465,19.97,-96.61,Emilio Carranza,MX,80.54,84,36,4.74
466,-30.98,-54.67,Dom Pedrito,BR,50.0,93,75,12.75
467,66.42,112.4,Udachnyy,RU,50.03,83,80,2.84
468,25.38,97.4,Myitkyina,MM,75.86,99,80,1.95
469,-26.79,-60.44,Presidencia Roque Saenz Pena,AR,59.21,38,0,8.32
470,-31.25,-61.49,Rafaela,AR,53.99,53,0,6.98
471,-20.74,116.85,Karratha,AU,59.03,73,0,15.82
472,69.3,139.9,Deputatskiy,RU,45.17,65,0,9.89
473,-22.4,-43.66,Vassouras,BR,87.8,45,0,5.82
474,39.28,141.86,Kamaishi,JP,73.34,89,64,4.18
475,13.63,124.05,Cabcab,PH,82.52,99,88,16.37
476,-2.92,-39.92,Itarema,BR,83.96,58,32,13.8
477,31.8,34.94,Gizo,IL,82.4,74,20,3.36
478,54.52,-128.61,Terrace,CA,69.8,60,90,25.28
479,-26.65,15.16,Luderitz,NA,53.54,83,0,15.7
480,15.74,-96.47,Pochutla,MX,91.4,52,90,11.41
481,-3.94,119.78,Tanete,ID,77.57,85,80,6.76
482,14.2,24.66,Kutum,SD,68.39,78,48,3.18
483,23.36,103.16,Gejiu,CN,63.44,97,80,2.17
484,58.81,-122.69,Fort Nelson,CA,77.0,41,20,4.7
485,41.42,-6.55,Saldanha,PT,61.37,63,0,2.62
486,64.25,-15.21,Hofn,IS,52.01,90,44,2.62
487,-5.56,-80.82,Sechura,PE,72.44,79,0,14.81
488,42.84,93.51,Hami,CN,75.32,44,88,3.4
489,25.28,110.29,Guilin,CN,77.0,88,0,2.39
490,27.87,-0.29,Adrar,DZ,100.4,22,40,4.7
491,-12.18,136.78,Nhulunbuy,AU,69.8,94,90,4.7
492,16.86,-99.88,Acapulco,MX,87.8,62,75,11.41
493,52.8,0.02,Holbeach,GB,60.8,82,0,5.82
494,60.47,166.1,Tilichiki,RU,54.17,100,80,3.62
495,34.38,67.02,Panjab,AF,43.91,83,0,2.73
496,-1.77,-55.87,Oriximina,BR,91.25,47,0,5.75
497,-31.68,18.49,Vredendal,ZA,44.99,71,88,2.62
498,-31.82,115.75,Sorrento,AU,42.8,93,0,5.82
499,63.05,179.32,Beringovskiy,RU,46.52,100,76,16.37
500,-40.81,-62.99,Viedma,AR,48.68,59,44,10.78
501,60.72,-135.06,Whitehorse,CA,57.2,71,75,9.17
502,31.86,10.98,Nalut,LY,83.96,35,0,9.78
503,45.52,-122.67,Portland,US,84.2,42,90,4.7
504,-25.04,33.64,Xai-Xai,MZ,69.83,95,92,13.91
505,2.67,72.89,Kudahuvadhoo,MV,83.6,100,64,8.55
506,47.66,-52.73,Torbay,CA,59.0,77,75,12.75
507,-13.71,-76.2,Pisco,PE,66.2,72,0,11.41
508,-19.0,-57.65,Corumba,BR,73.4,30,0,10.29
509,54.4,53.24,Bavly,RU,53.27,78,0,13.02
510,46.98,26.52,Stefan cel Mare,RO,64.4,82,0,1.12
511,12.18,6.51,Auki,NG,71.9,97,92,4.29
512,70.98,25.97,Honningsvag,NO,50.0,93,75,9.17
513,41.53,-8.62,Barcelos,PT,62.6,77,0,14.99
514,37.35,-108.58,Cortez,US,87.8,19,1,3.36
515,3.94,41.86,Mandera,ET,81.53,46,0,12.46
516,10.28,-61.46,San Fernando,TT,78.8,88,75,6.93
517,28.21,78.26,Dibai,IN,79.64,91,32,2.84
518,18.12,82.08,Chitrakonda,IN,68.57,100,100,2.39
519,69.41,86.18,Dudinka,RU,53.63,99,76,12.24
520,28.9,64.41,Dalbandin,PK,75.05,53,12,4.07
521,54.63,-8.45,Killybegs,IE,54.08,100,92,11.56
522,-6.22,155.63,Kieta,PG,77.3,100,48,4.18
523,14.35,-3.61,Bandiagara,ML,71.09,98,76,6.76
524,-26.5,17.16,Bethanien,NA,38.24,59,0,11.79
525,53.19,44.05,Kamenka,RU,51.47,78,0,4.52
526,23.26,68.83,Naliya,IN,77.21,96,92,8.88
527,-16.26,-56.62,Pocone,BR,75.41,51,0,11.9
528,51.94,-0.88,Winslow,GB,57.2,87,48,8.05
529,9.59,41.86,Dire Dawa,ET,61.64,89,48,2.73
530,-1.24,116.86,Balikpapan,ID,80.45,100,88,8.77
531,16.76,96.52,Thongwa,MM,78.8,94,90,3.36
532,39.94,-75.12,Camden,US,91.4,45,1,10.29
533,61.47,-6.81,Vagur,FO,53.09,100,92,7.87
534,11.32,-5.68,Sikasso,ML,75.23,88,92,6.53
535,5.2,-73.14,Miraflores,CO,59.57,69,0,2.62
536,18.47,-66.12,San Juan,PR,86.0,70,75,11.41
537,35.55,133.23,Sakaiminato,JP,75.2,88,75,1.12
538,36.74,38.46,Yazman,SY,86.3,28,0,14.25
539,-22.28,166.46,Noumea,NC,64.4,77,0,2.24
540,52.41,-108.71,Wilkie,CA,89.6,31,1,12.75
541,24.46,118.07,Xiamen,CN,82.4,88,75,4.47
542,10.93,122.57,Mina,PH,77.48,92,88,8.55
543,-23.68,-45.44,Porto Novo,BR,80.6,47,40,6.93
544,44.17,133.87,Chuguyevka,RU,62.54,90,68,2.73
545,-8.49,140.4,Merauke,ID,72.53,100,0,12.24
546,36.6,-121.89,Monterey,US,96.8,22,1,6.93
547,60.55,-151.26,Kenai,US,60.8,51,90,6.93
548,-12.41,-38.62,Terra Nova,BR,80.6,69,20,9.17
